,Company,TypeName,Inches,Cpu,Ram,Gpu,OpSys,Weight,Price,ScreenType,Resolution,TouchScreen,Cpu_Frequency,MemoryType,MemorySize
210,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Linux,Medium,779.0,,1920x1080,0,2.8,HDD,1000
211,Asus,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,Heavy,1407.0,,1920x1080,0,2.8,SSD and HDD,1256
212,HP,Notebook,15.6,Intel Core i3,4,Intel,No OS,Light,349.0,,1920x1080,0,2.0,HDD,500
213,Lenovo,Notebook,15.6,Intel Core i5,8,Intel,No OS,Medium,549.0,,1920x1080,0,2.5,SSD,256
214,Huawei,Ultrabook,13.0,Intel Core i7,8,Intel,Windows 10,Medium,1499.0,IPS Panel,2160x1440,0,2.7,SSD,512
215,Dell,Ultrabook,13.3,Intel Core i7,8,AMD,Windows 10,Medium,931.88,IPS Panel,1920x1080,0,1.8,SSD,256
216,Lenovo,Notebook,17.3,Intel Core i5,8,Nvidia,No OS,Medium,589.0,,1600x900,0,2.5,HDD,1000
217,HP,Notebook,14.0,Intel Core i7,8,Nvidia,Windows 10,Medium,1031.0,,1920x1080,0,1.8,SSD,256
218,Dell,Ultrabook,14.0,Intel Core i5,8,Intel,Windows 10,Medium,1149.0,,1920x1080,0,1.6,SSD,256
219,Dell,2 in 1 Convertible,13.3,Intel Core i7,16,Intel,Windows 10,Heavy,1279.0,,1920x1080,1,1.8,SSD,512
220,Dell,Notebook,15.6,Intel Core i5,8,AMD,Linux,Medium,677.35,,1920x1080,0,1.6,SSD,256
221,Lenovo,2 in 1 Convertible,14.0,Intel Core i5,8,Intel,Windows 10,Medium,899.0,IPS Panel,1920x1080,0,1.6,SSD,256
222,Toshiba,Ultrabook,13.3,Intel Core i7,8,Intel,Windows 10,Medium,1363.0,,1920x1080,0,2.5,SSD,256
223,HP,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,Medium,794.0,,1920x1080,0,1.6,HDD,1000
224,Dell,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,Heavy,2456.34,IPS Panel,1920x1080,0,2.8,SSD and HDD,1256
225,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,832.0,,1920x1080,0,2.7,SSD,256
226,Dell,Notebook,15.6,Intel Core i7,16,AMD,Windows 10,Heavy,859.01,,1920x1080,1,2.7,HDD,1000
227,Asus,Notebook,15.6,Intel Core i5,8,Nvidia,Windows 10,Medium,769.0,,1920x1080,0,2.5,SSD,256
228,Asus,Notebook,17.3,Intel Core i5,8,Nvidia,Windows 10,Medium,891.0,,1920x1080,0,2.5,SSD and HDD,756
229,HP,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,Medium,1269.0,,1920x1080,0,2.7,HDD,1000
230,Asus,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,Light,398.99,,1366x768,0,2.4,HDD,1000
231,HP,Notebook,15.6,AMD,4,AMD,Windows 10,Light,330.0,,1366x768,0,1.5,HDD,500
232,Lenovo,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,1499.0,IPS Panel,1920x1080,0,2.8,SSD and HDD,1256
233,Dell,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,Medium,859.0,,1920x1080,0,2.5,SSD,256
234,Acer,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,Medium,689.0,IPS Panel,1920x1080,1,2.3,SSD,256
235,Dell,Notebook,15.6,Intel Core i7,16,AMD,Linux,Heavy,899.0,,1920x1080,0,2.7,SSD,256
236,Acer,Notebook,15.6,Intel Core i3,4,Intel,Linux,Light,390.0,,1366x768,0,2.0,HDD,1000
237,Asus,Notebook,15.6,AMD,4,AMD,Windows 10,Light,575.0,,1920x1080,0,2.5,SSD and HDD,1128
238,Asus,Gaming,17.3,Intel Core i7,32,Nvidia,Windows 10,Heavy,3890.0,,1920x1080,0,2.9,SSD and HDD,1512
239,Acer,Gaming,15.6,Intel Core i5,8,Nvidia,Windows 10,Medium,846.0,IPS Panel,1920x1080,0,2.5,SSD,256
240,Lenovo,Notebook,15.6,Intel Core i3,8,Intel,Windows 10,Medium,589.0,,1366x768,0,2.0,SSD,128
241,Asus,Notebook,17.3,Intel Core i7,8,Nvidia,Windows 10,Medium,1145.0,,1920x1080,0,1.8,SSD and HDD,1128
242,Asus,Notebook,17.3,Intel Core i7,8,Nvidia,No OS,Medium,889.0,,1920x1080,0,2.7,SSD and HDD,1128
243,Dell,Gaming,15.6,Intel Core i5,8,Nvidia,Windows 10,Medium,879.0,,1920x1080,0,2.5,SSD,256
244,Lenovo,2 in 1 Convertible,13.9,Intel Core i7,8,Intel,Windows 10,Medium,1079.0,IPS Panel,1920x1080,1,2.7,SSD,256
245,Dell,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,Medium,985.0,,1920x1080,0,1.8,SSD and HDD,2128
246,HP,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,Medium,559.0,,1366x768,1,2.5,HDD,1000
247,Asus,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,Heavy,2999.0,,1920x1080,0,2.9,SSD,256
248,HP,Notebook,13.3,Intel Core i5,4,Intel,Windows 10,Light,675.0,IPS Panel,1920x1080,0,1.6,HDD,500
249,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,Medium,2040.0,IPS Panel Retina,2560x1600,0,3.1,SSD,512
250,Dell,2 in 1 Convertible,15.6,Intel Core i7,8,Intel,Windows 10,Medium,819.0,IPS Panel,1920x1080,1,1.8,HDD,1000
251,Asus,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,Heavy,1799.0,,1920x1080,0,2.8,SSD and HDD,1256
252,Asus,Notebook,15.6,AMD,4,AMD,Windows 10,Light,469.0,,1366x768,0,3.0,HDD,1000
253,Lenovo,2 in 1 Convertible,13.9,Intel Core i7,8,Intel,Windows 10,Medium,1849.0,IPS Panel,1920x1080,1,1.8,SSD,512
254,Acer,Notebook,17.3,Intel Core i3,4,Nvidia,Windows 10,Light,702.0,IPS Panel,1920x1080,0,2.7,SSD,256
255,Dell,Ultrabook,13.3,Intel Core i5,8,Intel,Windows 10,Medium,949.0,,1920x1080,0,1.6,SSD,256
256,HP,Notebook,15.6,AMD,8,AMD,Windows 10,Medium,445.9,,1366x768,0,2.5,SSD,128
257,HP,Notebook,17.3,Intel Core i7,16,Nvidia,Windows 10,Heavy,1059.0,IPS Panel,1920x1080,0,1.8,HDD,1000
258,MSI,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,Heavy,2499.0,,1920x1080,0,2.8,SSD and HDD,1512
259,Lenovo,2 in 1 Convertible,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,1699.0,IPS Panel,1920x1080,1,2.8,SSD,512
260,Dell,Notebook,17.3,Intel Core i7,8,AMD,Windows 10,Medium,1142.0,,1920x1080,0,1.8,SSD and HDD,1128
261,Lenovo,Notebook,15.6,Intel Core i3,4,Intel,No OS,Light,444.0,,1920x1080,0,2.0,SSD,256
262,HP,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,Light,722.0,IPS Panel,1920x1080,0,1.6,HDD,500
263,Dell,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,Light,657.0,,1920x1080,0,2.5,HDD,1000
264,Dell,Notebook,15.6,Intel Core i5,8,AMD,Windows 10,Medium,565.0,,1920x1080,0,2.5,HDD,1000
265,Dell,2 in 1 Convertible,15.6,Intel Core i5,8,Intel,Windows 10,Medium,799.0,,1920x1080,1,1.6,SSD,256
266,Asus,2 in 1 Convertible,13.3,Intel Core i7,8,Intel,Windows 10,Medium,1499.0,,1920x1080,1,1.8,SSD,1024
267,Lenovo,Notebook,15.6,Intel Core i5,4,Intel,No OS,Light,467.0,,1920x1080,0,2.5,HDD,1000
268,HP,Notebook,17.3,Intel Core i7,8,Nvidia,Windows 10,Medium,1018.0,,1920x1080,0,1.8,HDD,1000
269,Lenovo,Notebook,15.6,Intel Core i7,8,Intel,Windows 10,Medium,880.0,,1920x1080,0,1.8,SSD,256
270,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,Medium,1958.9,IPS Panel Retina,2560x1600,0,2.9,SSD,512
271,Asus,Gaming,17.3,AMD,16,AMD,Windows 10,Heavy,1549.0,,1920x1080,0,3.0,SSD and HDD,1256
272,Dell,Notebook,15.6,Intel Core i7,8,AMD,Linux,Medium,735.07,,1920x1080,0,1.8,SSD,256
273,Lenovo,2 in 1 Convertible,14.0,Intel Core i7,16,Intel,Windows 10,Heavy,2499.0,,2560x1440,1,2.6,SSD,512
274,Toshiba,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,812.0,,1366x768,0,2.5,HDD,500
275,Dell,Notebook,15.6,Intel Core i7,12,Intel,Windows 10,Heavy,713.07,,1366x768,0,2.7,HDD,1000
276,Dell,Notebook,17.3,Intel Core i7,8,AMD,Linux,Medium,1099.0,,1920x1080,0,1.8,SSD and HDD,1128
277,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,745.0,IPS Panel,1920x1080,0,1.8,HDD,1000
278,Lenovo,Notebook,17.3,Intel Core i3,4,Intel,Windows 10,Light,489.0,,1600x900,0,2.0,HDD,1000
279,Lenovo,Notebook,17.3,Intel Core i7,8,Nvidia,No OS,Medium,849.0,,1920x1080,0,1.8,HDD,2000
280,Lenovo,Notebook,17.3,Intel Core i7,6,Nvidia,Windows 10,Light,859.0,,1600x900,0,2.7,SSD and HDD,1128
281,Dell,Notebook,15.6,Intel Core i3,4,AMD,Linux,Light,428.0,,1920x1080,0,2.0,HDD,1000
282,Lenovo,Gaming,15.6,Intel Core i5,8,Nvidia,Windows 10,Medium,829.0,IPS Panel,1920x1080,0,2.5,SSD,256
283,Lenovo,Notebook,15.6,Intel Core i5,6,Intel,Windows 10,Light,579.0,,1920x1080,0,2.5,SSD,256
284,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,951.0,IPS Panel,1920x1080,0,1.8,SSD,256
285,Acer,Notebook,15.6,Intel Core i7,12,Intel,Windows 10,Heavy,659.0,IPS Panel,1920x1080,1,2.7,HDD,1000
286,Lenovo,Notebook,15.6,Intel Core i7,8,Intel,Windows 10,Medium,1097.0,IPS Panel,1920x1080,0,2.7,SSD,256
287,Asus,Ultrabook,15.6,Intel Core i5,8,Nvidia,Windows 10,Medium,977.0,,1920x1080,0,2.5,SSD,256
288,Lenovo,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,1179.0,IPS Panel,1920x1080,0,2.8,SSD and HDD,1256
289,Lenovo,Notebook,15.6,Intel Core i7,8,Nvidia,No OS,Medium,659.01,,1920x1080,0,2.7,HDD,1000
290,Acer,Notebook,15.6,Other Intel,2,Intel,Chrome OS,Light,199.0,,1366x768,0,1.5,SSD,16
291,Asus,Gaming,17.3,Intel Core i7,8,Nvidia,Windows 10,Medium,1187.0,,1920x1080,0,2.8,HDD,1000
292,HP,Notebook,17.3,Intel Core i3,8,Intel,Windows 10,Medium,489.0,,1600x900,0,2.0,HDD,1000
293,Dell,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,1829.0,,1920x1080,0,2.8,SSD,256
294,Lenovo,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,Medium,739.0,,1920x1080,0,1.6,SSD,256
295,Lenovo,Gaming,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,1299.0,IPS Panel,1920x1080,0,2.8,HDD,1000
296,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Linux,Medium,979.0,,1920x1080,0,2.8,SSD,256
297,Dell,Workstation,17.3,Intel Core i7,16,Nvidia,Windows 10,Heavy,2884.86,,1920x1080,0,2.9,SSD,256
298,Lenovo,Notebook,15.6,AMD,6,AMD,Windows 10,Light,499.0,,1920x1080,0,2.4,HDD,1000
299,Asus,Ultrabook,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,1468.0,,1920x1080,0,2.7,SSD,512
300,Asus,Notebook,14.0,Intel Core i3,4,Intel,Windows 10,Light,509.0,,1366x768,0,2.4,SSD,128
301,Asus,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,Heavy,2122.0,,1920x1080,0,2.8,SSD and HDD,1256
302,Lenovo,Notebook,17.3,Intel Core i5,6,Nvidia,Windows 10,Light,649.0,,1600x900,0,2.5,HDD,1000
303,Lenovo,Notebook,15.6,Intel Core i5,8,Nvidia,No OS,Medium,549.0,,1366x768,0,2.5,HDD,2000
304,Asus,Gaming,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,1265.0,,1920x1080,0,2.8,SSD and HDD,1128
305,Lenovo,Notebook,15.6,Other Intel,4,Intel,No OS,Light,359.99,,1366x768,0,1.1,HDD,1000
306,HP,2 in 1 Convertible,13.3,Intel Core i7,16,Intel,Windows 10,Heavy,1975.0,,1920x1080,1,2.8,SSD,256
307,Toshiba,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,1043.0,IPS Panel,1920x1080,0,2.5,SSD,256
308,Lenovo,Notebook,15.6,Intel Core i5,8,Nvidia,Windows 10,Medium,819.0,,1920x1080,0,2.5,SSD and HDD,1128
309,HP,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,Light,469.0,,1920x1080,0,2.0,HDD,1000
310,Lenovo,Notebook,13.3,Intel Core i5,8,Intel,Windows 10,Medium,999.0,IPS Panel,1920x1080,0,2.5,SSD,256
311,Dell,Ultrabook,13.3,Intel Core i7,16,Intel,Windows 10,Heavy,2499.0,IPS Panel,3840x2160,1,1.8,SSD,1000
312,MSI,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,2099.0,IPS Panel,1920x1080,0,2.8,SSD and HDD,1256
313,Acer,Notebook,15.6,AMD,8,AMD,Windows 10,Medium,469.0,,1920x1080,0,2.2,SSD,256
314,Asus,2 in 1 Convertible,11.6,Other Intel,2,Intel,Windows 10,Light,275.0,,1366x768,1,1.1,Flash Storage,32
315,Dell,Notebook,15.6,Intel Core i5,8,AMD,Windows 10,Medium,844.0,,1920x1080,0,1.6,SSD and HDD,1128
316,HP,2 in 1 Convertible,13.3,Intel Core i7,16,Intel,Windows 10,Heavy,2449.0,IPS Panel,3840x2160,1,1.8,SSD,1000
317,Lenovo,Notebook,13.3,Other Intel,4,Intel,Chrome OS,Light,459.9,,1366x768,0,1.6,Flash Storage,16
318,HP,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,Medium,980.0,,1920x1080,0,2.5,SSD,256
319,Acer,Notebook,11.6,Other Intel,4,Intel,Windows 10,Light,485.0,,1366x768,0,1.6,Flash Storage,128
320,HP,Notebook,14.0,Intel Core i7,8,Intel,Windows 10,Medium,1292.0,,1920x1080,0,2.7,SSD,256
321,Lenovo,Notebook,17.3,Intel Core i5,4,Nvidia,Windows 10,Light,589.0,,1600x900,0,2.5,HDD,1000
322,Asus,Notebook,14.0,Intel Core i7,8,Intel,Windows 10,Medium,1094.0,,1920x1080,0,2.7,SSD,256
323,HP,Notebook,15.6,Intel Core i7,8,Intel,Windows 10,Medium,902.0,IPS Panel,1366x768,0,1.8,HDD,1000
324,Acer,Notebook,15.6,AMD,8,AMD,Windows 10,Medium,659.0,,1366x768,0,2.7,SSD,256
325,Lenovo,Notebook,14.0,Other Intel,4,Intel,Windows 10,Light,292.0,,1366x768,0,1.1,Flash Storage,32
326,Acer,Notebook,15.6,Intel Core i5,6,Intel,Windows 10,Light,549.0,,1366x768,0,2.5,HDD,1000
327,Asus,Ultrabook,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,1049.9,,1920x1080,0,2.7,SSD,256
328,HP,Ultrabook,12.5,Intel Core i7,8,Intel,Windows 10,Medium,1335.0,,1920x1080,0,2.7,SSD,256
329,Dell,Notebook,15.6,Intel Core i7,32,Nvidia,Windows 10,Heavy,2639.0,,3840x2160,1,2.8,SSD,1000
330,MSI,Gaming,17.3,Intel Core i7,8,Nvidia,Windows 10,Medium,1199.0,,1920x1080,0,2.8,SSD and HDD,1256
331,Toshiba,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,Medium,943.0,IPS Panel,1920x1080,0,2.5,SSD,256
332,Asus,Notebook,14.0,Intel Core i7,8,Intel,Windows 10,Medium,1334.0,,1920x1080,0,2.7,SSD and HDD,1256
333,Lenovo,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,Light,449.0,,1920x1080,0,2.0,HDD,1000
334,Asus,Gaming,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,999.0,,1920x1080,0,2.8,SSD,256
335,HP,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,Medium,1268.0,,1920x1080,0,2.6,SSD,256
336,Dell,Ultrabook,15.6,Intel Core i5,8,Nvidia,Windows 10,Medium,1049.0,IPS Panel,1920x1080,0,1.6,SSD and HDD,1128
337,HP,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,Medium,1144.0,,1920x1080,0,2.5,SSD,256
338,Asus,Notebook,15.6,Other Intel,4,Intel,Linux,Light,274.99,,1366x768,0,1.1,HDD,1000
339,Dell,Notebook,15.6,Intel Core i5,8,Nvidia,Windows 10,Medium,1142.75,,1920x1080,0,1.6,SSD,256
340,Dell,Notebook,15.6,Other Intel,4,Intel,Linux,Light,274.9,,1366x768,0,1.6,HDD,500
341,Lenovo,Notebook,15.6,AMD,12,AMD,Windows 10,Heavy,899.0,,1920x1080,0,3.6,HDD,2000
342,HP,Notebook,15.6,Intel Core i3,8,Nvidia,Windows 10,Medium,716.0,IPS Panel,1920x1080,0,2.4,HDD,1000
343,Lenovo,2 in 1 Convertible,13.9,Intel Core i7,16,Intel,Windows 10,Heavy,2099.0,IPS Panel,3840x2160,1,1.8,SSD,512
344,Dell,Ultrabook,13.3,Intel Core i7,8,Intel,Windows 10,Medium,1579.0,,1920x1080,0,1.8,SSD,256
345,Lenovo,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,1129.0,IPS Panel,1920x1080,0,2.8,SSD and HDD,2256
346,HP,Notebook,14.0,Other Intel,2,Intel,Windows 10,Light,279.0,,1366x768,0,1.6,Flash Storage,32
347,Dell,Ultrabook,15.6,Intel Core i7,16,Intel,Windows 10,Heavy,1607.96,,1920x1080,0,1.9,SSD,768
348,Asus,2 in 1 Convertible,11.6,Other Intel,4,Intel,Windows 10,Light,375.0,,1366x768,1,1.1,Flash Storage,32
349,Dell,Ultrabook,15.6,Intel Core i5,8,AMD,Windows 10,Medium,663.0,,1920x1080,0,1.6,HDD,1000
350,Dell,Notebook,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,2027.42,,3840x2160,1,2.8,SSD,512
351,HP,Notebook,15.6,Intel Core i7,8,Intel,Windows 10,Medium,1304.0,,1920x1080,0,2.7,SSD,256
352,MSI,Gaming,17.3,Intel Core i7,8,Nvidia,Windows 10,Medium,1409.0,,1920x1080,0,2.8,SSD and HDD,1128
353,HP,Workstation,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,1738.27,,1920x1080,0,2.8,SSD,256
354,Toshiba,Notebook,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,1403.0,IPS Panel,1920x1080,0,2.5,SSD,512
355,Dell,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,Medium,970.9,,1920x1080,0,1.8,SSD and HDD,2128
356,Lenovo,Notebook,15.6,Other Intel,4,Intel,No OS,Light,321.99,,1366x768,0,1.1,HDD,1000
357,Dell,Gaming,15.6,Intel Core i5,8,Nvidia,Windows 10,Medium,999.0,,1920x1080,0,2.5,HDD,1000
358,Dell,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,Medium,557.37,,1366x768,1,2.5,HDD,2000
359,Dell,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,Medium,1427.0,,1920x1080,0,2.6,SSD,256
360,HP,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,Light,439.0,,1366x768,0,2.0,HDD,500
361,Asus,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,Medium,945.0,,1920x1080,0,2.5,SSD,256
362,Lenovo,Notebook,17.3,Intel Core i5,6,Nvidia,Windows 10,Light,719.0,,1600x900,0,2.5,SSD and HDD,1128
363,HP,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,Medium,639.0,,1920x1080,0,2.5,HDD,1000
364,Lenovo,Notebook,15.6,Intel Core i3,8,Nvidia,No OS,Medium,499.0,,1366x768,0,2.0,SSD,256
365,HP,Notebook,15.6,Other Intel,8,Intel,Windows 10,Medium,389.0,,1366x768,0,1.6,HDD,2000
366,Dell,Notebook,17.3,Intel Core i5,8,AMD,Windows 10,Medium,1085.0,,1920x1080,0,1.6,SSD and HDD,1128
367,Lenovo,Gaming,15.6,Intel Core i5,8,Nvidia,No OS,Medium,809.0,IPS Panel,1920x1080,0,2.5,SSD and HDD,1128
368,Dell,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,Medium,899.0,,1920x1080,0,2.7,SSD,256
369,HP,Ultrabook,14.0,Intel Core i7,8,Intel,Windows 10,Medium,1750.0,IPS Panel,1920x1080,0,2.7,SSD,256
370,Asus,2 in 1 Convertible,15.6,Intel Core i7,12,Nvidia,Windows 10,Heavy,1099.0,,1920x1080,1,2.7,SSD and HDD,2512
371,Acer,Notebook,15.6,AMD,4,AMD,Windows 10,Light,426.0,,1366x768,0,3.0,SSD,128
372,Asus,Gaming,17.3,AMD,16,AMD,Windows 10,Heavy,2199.0,IPS Panel,1920x1080,0,3.0,SSD and HDD,1256
373,Lenovo,Notebook,17.3,AMD,4,AMD,Windows 10,Light,489.0,,1600x900,0,2.2,SSD,128
374,Dell,2 in 1 Convertible,13.3,Intel Core i7,8,Intel,Windows 10,Medium,869.01,,1920x1080,1,1.8,SSD,256
375,HP,Notebook,15.6,AMD,4,AMD,Windows 10,Light,488.99,,1920x1080,0,3.0,SSD,256
376,Lenovo,Netbook,11.6,Other Intel,4,Intel,Windows 10,Light,553.0,IPS Panel,1366x768,0,1.1,SSD,128
377,Dell,Notebook,15.6,Other Intel,4,Intel,Windows 10,Light,309.0,,1366x768,0,1.6,HDD,500
378,Asus,Notebook,14.0,Other Intel,4,Intel,Windows 10,Light,286.0,,1366x768,0,1.1,Flash Storage,32
379,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Linux,Medium,846.0,,1920x1080,0,2.8,HDD,1000
380,HP,Gaming,17.3,Intel Core i7,8,Nvidia,Windows 10,Medium,1191.0,IPS Panel,1920x1080,0,2.8,SSD and HDD,1128
381,Lenovo,Notebook,15.6,Intel Core i3,4,Intel,No OS,Light,403.5,,1920x1080,0,2.0,SSD,128
382,Asus,Gaming,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,1655.0,IPS Panel,1920x1080,0,2.8,SSD and HDD,1128
383,Lenovo,Notebook,14.0,Intel Core i5,8,Nvidia,Windows 10,Medium,1099.0,IPS Panel,1920x1080,0,2.5,SSD,256
384,Asus,Ultrabook,13.3,Intel Core i7,16,Intel,Windows 10,Heavy,1748.9,,1920x1080,1,2.7,SSD,512
385,Lenovo,Ultrabook,14.0,Intel Core i7,8,Intel,Windows 10,Medium,2282.0,IPS Panel,2560x1440,0,2.7,SSD,512
386,Lenovo,Notebook,13.3,Intel Core i3,4,Intel,Windows 10,Light,549.0,IPS Panel,1920x1080,0,2.4,SSD,128
387,Dell,Workstation,15.6,Intel Core i5,8,AMD,Windows 10,Medium,1369.0,,1920x1080,0,2.6,HDD,500
388,Dell,Workstation,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,2135.0,IPS Panel,1920x1080,0,2.7,SSD,256
389,Lenovo,2 in 1 Convertible,14.0,Intel Core i7,16,Intel,Windows 10,Heavy,2509.0,,2560x1440,1,2.7,SSD,512
390,Asus,Gaming,17.3,Intel Core i7,8,Nvidia,Windows 10,Medium,1039.0,,1920x1080,0,2.8,HDD,1000
391,Asus,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,Heavy,1591.0,,1920x1080,0,2.8,SSD and HDD,1256
392,Acer,Notebook,15.6,Intel Core i5,12,Nvidia,Windows 10,Heavy,693.99,IPS Panel,1366x768,0,1.6,HDD,1000
393,MSI,Gaming,17.3,Intel Core i7,8,Nvidia,Windows 10,Medium,1349.0,,1920x1080,0,2.8,SSD,256
394,Dell,Notebook,15.6,Intel Core i7,8,AMD,Linux,Medium,778.87,,1920x1080,0,2.7,SSD,256
395,HP,Ultrabook,15.6,AMD,4,AMD,Windows 10,Light,499.0,,1920x1080,0,3.0,SSD,256
396,Lenovo,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,Medium,1229.56,IPS Panel,1920x1080,0,1.8,SSD,256
397,Lenovo,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,Medium,938.0,IPS Panel,1920x1080,0,2.5,SSD,256
398,Dell,Workstation,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,2712.0,,3840x2160,1,2.8,SSD,256
399,Lenovo,Ultrabook,14.0,Intel Core i7,16,Intel,Windows 10,Heavy,2625.0,IPS Panel,2560x1440,0,2.7,SSD,1000
400,Lenovo,Notebook,15.6,Other Intel,4,Intel,Windows 10,Light,306.0,,1366x768,0,1.1,HDD,1000
401,Asus,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,Heavy,1529.0,,1920x1080,0,2.8,SSD and HDD,1256
402,Lenovo,Notebook,15.6,Intel Core i5,8,AMD,Windows 10,Medium,1144.5,IPS Panel,1920x1080,0,1.6,SSD and HDD,1256
403,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Linux,Medium,879.0,,1920x1080,0,2.8,SSD,256
404,MSI,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,Heavy,2249.0,,1920x1080,0,2.8,SSD and HDD,1256
405,Asus,Ultrabook,14.0,Intel Core i7,8,Intel,Windows 10,Medium,1873.0,,1920x1080,0,2.7,SSD,512
406,Toshiba,Ultrabook,13.3,Intel Core i7,16,Intel,Windows 10,Heavy,1747.0,,1920x1080,0,2.5,SSD,512
407,Dell,Ultrabook,14.0,Intel Core i7,8,Intel,Windows 10,Medium,1680.0,,1920x1080,0,2.8,SSD,512
408,Lenovo,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,Light,409.0,,1920x1080,0,2.0,HDD,500
409,Lenovo,Notebook,11.6,Other Intel,2,Intel,Windows 10,Light,304.45,,1366x768,0,1.1,Flash Storage,32
410,Lenovo,Workstation,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,1925.0,,1920x1080,0,2.8,SSD,512
411,Lenovo,Ultrabook,14.0,Intel Core i7,8,Nvidia,Windows 10,Medium,1943.0,IPS Panel,2560x1440,0,2.8,SSD,512
412,HP,Notebook,15.6,Intel Core i3,4,AMD,Windows 10,Light,469.0,,1920x1080,0,2.0,HDD,1000
413,Acer,2 in 1 Convertible,13.3,Intel Core i7,8,Intel,Windows 10,Medium,789.01,IPS Panel,1920x1080,1,2.5,SSD,256
414,Asus,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,Medium,928.0,IPS Panel,1920x1080,1,2.5,SSD,256
415,Dell,Notebook,15.6,Intel Core i5,4,AMD,Linux,Light,598.9,,1920x1080,0,2.5,SSD,256
416,Dell,Notebook,13.3,Intel Core i3,4,Intel,Windows 10,Light,689.0,,1366x768,0,2.0,SSD,128
417,HP,Ultrabook,14.0,Intel Core i7,8,Intel,Windows 10,Medium,1500.0,,1920x1080,0,2.5,SSD,256
418,Dell,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,Medium,539.95,,1366x768,0,2.5,HDD,1000
